ChannelFinanceGroup,Channel,SubChannel,ExComChannel
Digital,Audio,Digital radio,Digital Radio/Audio
Digital,Audio,Podcasts,Digital Radio/Audio
Digital,Audio,Streaming Audio,Digital Radio/Audio
Digital,Audio,Streaming audio sponsorship,Digital Radio/Audio
Digital,Display,Display - Fee,Digital Display
Digital,Display,Display Direct buy,Digital Display
Digital,Display,Display Programmatic,Digital Display
Digital,Gaming,Gaming,Gaming
Digital,Native,Messaging,Paid Social
Digital,Online Video,OLV - Fee,Online Video
Digital,Online Video,OLV Direct buy,Online Video
Digital,Online Video,OLV Programmatic,Online Video
Digital,OOH,OOH Digital,OOH Digital
Digital,Paid Search,Paid Search,Paid Search
Digital,Paid Social,Social - Image and Video,Paid Social
Digital,Paid Social,Social - Image Only,Paid Social
Digital,Paid Social,Social - Video Only,Paid Social
Digital,Partnerships,Digital Partnerships,Partnerships
Digital,Partnerships,Influencers,Influencers
Digital,PR,Digital - PR article or support,Partnerships
Digital,Retail Media,Retail Media - Offsite,Retail Media
Digital,Retail Media,Retail Media - Onsite - Display,Retail Media
Digital,Retail Media,Retail Media - Onsite - Sponsored,Retail Media
Digital,TV,Addressable TV,TV Digital
Digital,TV,Broadcaster VOD,TV Digital
Digital,TV,Streaming TV,TV Digital
Offline,Cinema,Cinema Partnerships,Cinema
Offline,Cinema,Cinema Sponsorship,Cinema
Offline,Cinema,Cinema Traditional Spot,Cinema
Offline,OOH,OOH - Fee,OOH 
Offline,OOH,OOH Impact,OOH 
Offline,OOH,OOH Other,OOH 
Offline,OOH,OOH Static,OOH 
Offline,OOH,OOH Transport,OOH 
Offline,OOH,Transport,OOH 
Offline,Own Media,Point of Sale,Other
Offline,Partnerships,Partner marketing,Partnerships
Offline,PR,Offline - PR article or support,Partnerships
Offline,Print,Magazine,Print
Offline,Print,Newspaper,Print
Offline,Radio,Terrestrial radio sponsorship,Radio
Offline,Radio,Terrestrial radio spot,Radio
Offline,Retail Media,Retail Media - Connected store,Retail Media
Offline,Sponsorship,Sponsorship - Event,Partnerships
Offline,Sponsorship,Sponsorship - Media partnership,Partnerships
Offline,Sponsorship,Sponsorship - Other,Partnerships
Offline,TV,Linear/Spot TV,TV Traditional
Offline,TV,Product placement TV,TV Sponsorship
Offline,TV,Sponsorship TV,TV Sponsorship
Offline,TV,TV - Fee,TV Traditional
Offline,TV,TV Sponsorship,TV Sponsorship
Other,Other,Ad Serving,Other
Other,Other,Agency fee,Other
Other,Other,Delivery,Other
Other,Other,PRF Fee,Other
Other,Other,Production Costs,Other
Other,Other,Third Party Analytics or Research,Other
Other,Other,Verification & Viewability Tracking,Other
Other,Own Media,Client website,Other
Other,Partnerships,Partnerships - Fee,Partnerships
Other,Retail Media,Retail Media - Other,Retail Media
Other,Sponsorship,Sponsorship - Fee,Partnerships
